x1,id_orig,country,comm_name,sci_name,id_level,species_cat,species_cat_name,region_fao,dbase,catch_share,policy,scenario,year,catch,biomass,profits,bv_bmsy,fv_fmsy,msy,price,g,k,c,phi,region_fao_chr,n_regions,region_fao_split,iso3
387,WGNSSK-SEELNSSA3-1983-2011-NEUBAUER,Multinational,Sandeel North Sea Area 3,Ammodytes marinus,Species,33,Miscellaneous coastal fishes,27,RAM,0,Historic,Historic,2012,78100,440000,4532957.279,0.909,0.258,332946.754,84.753,0.687,1211889.294,19784813.67,0.188,27,1,27,NA
388,WGNSSK-SOLEIIIa-1982-2011-NEUBAUER,Multinational,common European sole ICES Kattegat and Skagerrak,Solea vulgaris,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,538,2530,411740.658,1.11,0.892,531.15,1022.233,0.232,5722.676,1071142.127,0.188,27,1,27,NA
389,WGNSSK-SOLENS-1956-2010-NEUBAUER,Multinational,common European sole North Sea,Solea vulgaris,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,12600,48370.46,6575878.503,0.715,1.55,11811.942,1022.233,0.175,169126.487,34475614.16,0.188,27,1,27,NA
390,WGNSSK-SOLEVIId-1981-2011-NEUBAUER,Multinational,common European sole ICES VIId,Solea vulgaris,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,4390,21300,2994309.515,1.51,1.57,2751.655,1022.233,0.195,35335.19,6971476.274,0.188,27,1,27,NA
391,WGNSSK-WHITNS-VIId-1989-2012-CHING,Multinational,Whiting NS-VIId,Merlangius merlangus,Species,32,"Cods, hakes, haddocks",27,RAM,0,Historic,Historic,2012,32000,622000,27708695.31,1.74,0.166,110690.906,978.091,0.311,891040.28,169493799.6,0.188,27,1,27,NA
392,WGSSDS-HADVIIb-k-1987-2012-CHING,Multinational,Haddock ICES VIIb-k,Melanogrammus aeglefinus,Species,32,"Cods, hakes, haddocks",27,RAM,1,Historic,Historic,2012,26800,88000,41035975.27,1.7,1.59,5680.829,1705.326,0.11,129147.165,45032545.43,0.188,27,1,27,NA
393,WGSSDS-PLAICCELT-1992-2010-NEUBAUER,Multinational,European Plaice ICES VIIf-g,Pleuronectes platessa,Species,31,"Flounders, halibuts, soles",27,RAM,1,Historic,Historic,2012,1020,5861.592,2309058.267,1.46,0.738,1204.703,2763.936,0.301,10022.58,3614195.599,0.188,27,1,27,NA
394,WGSSDS-PLAICECHW-1979-2010-NEUBAUER,Multinational,European Plaice ICES VIIe,Pleuronectes platessa,Species,31,"Flounders, halibuts, soles",27,RAM,1,Historic,Historic,2012,1230,7720,2483830.128,1.38,1.46,890.835,2763.936,0.16,13962.721,6088695.281,0.188,27,1,27,NA
395,WGSSDS-SOLECS-1970-2011-NEUBAUER,Multinational,common European sole Celtic Sea,Solea vulgaris,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,0.26,5490,182.047,2.5,1.18,0.224,1022.233,0,5122.338,9549288.833,0.188,27,1,27,NA
396,WGSSDS-SOLEVIIe-1968-2010-NEUBAUER,Multinational,common European sole Western English Channel,Solea vulgaris,Species,31,"Flounders, halibuts, soles",27,RAM,0,Historic,Historic,2012,688,3320,519080.768,0.998,0.915,684.852,1022.233,0.206,8319.212,1614213.578,0.188,27,1,27,NA
397,WGSSDS-WHITVIIek-1981-2012-CHING,Multinational,Whiting ICES VIIe-k,Merlangius merlangus,Species,32,"Cods, hakes, haddocks",27,RAM,0,Historic,Historic,2012,9080,73200,4694797.915,1.05,0.671,21000,978.091,0.302,173662.852,33302288.56,0.188,27,1,27,NA
398,265-SOFIA-57-24,India,Kelee shad,Hilsa kelee,Species,24,Shads,57,SOFIA,0,Historic,Historic,2012,14000,61897.897,-5053403.721,0.401,2.19,15955.547,1005.454,0.103,386330.59,132105715.5,0.188,57,1,57,IND
399,502-SOFIA-48-34,Australia,Mackerel icefish,Champsocephalus gunnari,Species,34,Miscellaneous demersal fishes,48,SOFIA,0,Historic,Historic,2012,500,2435.223,-511972.201,0.4,5.051,247.425,1368.908,0.041,15216.188,9369692.936,0.188,48,1,48,AUS
400,552-SOFIA-81-37,New Zealand,Barracudas NEI,Sphyraena spp,Species,37,Miscellaneous pelagic fishes,81,SOFIA,0,Historic,Historic,2012,0,2514.014,0,1.001,0,103.402,993.596,0.041,6281.433,1380489.818,0.188,81,1,81,NZL
401,558-SOFIA-41-57,Spain,Various squids NEI,"Loliginidae, Ommastrephidae",Species,57,"Squids, cuttlefishes, octopuses",41,SOFIA,0,Historic,Historic,2012,500,1683.609,148707.792,1,7.438,67.191,1384.735,0.04,4207.412,2634995.5,0.188,41,1,41,ESP
402,10000-FAO-27-44,Norway,Red king crab,Paralithodes camtschaticus,Species,44,"King crabs, squat-lobsters",27,FAO,1,Historic,Historic,2012,1437,24870.496,8414700.6,1.07,1.435,935.995,8942.645,0.04,58129.431,180582577.1,0.188,27,1,27,NOR
403,10013-FAO-27-23,Norway,Sea trout,Salmo trutta,Species,23,"Salmons, trouts, smelts",27,FAO,0,Historic,Historic,2012,3,126.541,8818.496,1.154,0.578,4.494,4299.216,0.041,274.073,528702.282,0.188,27,1,27,NOR
404,10027-FAO-27-31,Norway,Turbot,Psetta maxima,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,50,625.155,193316.685,0.814,1.96,31.348,6955.084,0.041,1920.543,4119798.737,0.188,27,1,27,NOR
405,10037-FAO-27-31,Norway,Witch flounder,Glyptocephalus cynoglossus,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,51,2366.346,64792.065,0.726,1.676,41.901,2418.449,0.013,8144.506,8589714.798,0.188,27,1,27,NOR
406,10079-FAO-51-57,Oman,Pharaoh cuttlefish,Sepia pharaonis,Species,57,"Squids, cuttlefishes, octopuses",51,FAO,0,Historic,Historic,2012,6530,367407.654,7583659.436,1.845,0.264,13426.996,1376.471,0.067,497761.429,264781200.6,0.188,51,1,51,OMN
407,10131-FAO-57-38,Other nei,Blue shark,Prionace glauca,Species,38,"Sharks, rays, chimaeras",57,FAO,0,Historic,Historic,2012,5,728.476,2828.063,0.967,0.503,10.293,886.725,0.014,1884.294,1042572.477,0.188,57,1,57,NA
408,10132-FAO-51-38,Other nei,Blue shark,Prionace glauca,Species,38,"Sharks, rays, chimaeras",51,FAO,0,Historic,Historic,2012,160,4112.644,19817.863,0.683,2.825,82.924,886.725,0.014,15055.316,8309372.798,0.188,51,1,51,NA
409,1016-FAO-34-33,Benin,African sicklefish,Drepane africana,Species,33,Miscellaneous coastal fishes,34,FAO,0,Historic,Historic,2012,35,142.649,-22309.891,0.557,6.405,9.806,1833.536,0.038,639.916,537270.928,0.188,34,1,34,BEN
410,10200-FAO-51-33,Pakistan,Bombay-duck,Harpadon nehereus,Species,33,Miscellaneous coastal fishes,51,FAO,0,Historic,Historic,2012,45,451.453,22736.771,0.591,0.982,77.611,1833.536,0.102,1910.941,1197622.996,0.188,51,1,51,PAK
411,10209-FAO-51-35,Pakistan,Dorab wolf-herring,Chirocentrus dorab,Species,35,"Herrings, sardines, anchovies",51,FAO,0,Historic,Historic,2012,1503,20066.86,228144.177,0.645,1.503,1162.504,349.062,0.037,77754.823,12520343.79,0.188,51,1,51,PAK
412,10212-FAO-51-33,Pakistan,Fourfinger threadfin,Eleutheronema tetradactylum,Species,33,Miscellaneous coastal fishes,51,FAO,0,Historic,Historic,2012,204,4889.351,34627.416,0.483,1.064,396.796,1833.536,0.039,25303.357,21097793.45,0.188,51,1,51,PAK
413,10214-FAO-51-45,Pakistan,Giant tiger prawn,Penaeus monodon,Species,45,"Shrimps, prawns",51,FAO,0,Historic,Historic,2012,190,1797.752,280458.943,0.711,2.68,99.673,3996.106,0.039,6318.192,8890460.357,0.188,51,1,51,PAK
414,10222-FAO-51-35,Pakistan,Indian oil sardine,Sardinella longiceps,Species,35,"Herrings, sardines, anchovies",51,FAO,0,Historic,Historic,2012,23304,261172.171,2946385.228,0.662,1.675,15753.174,293.252,0.04,985976.113,130750576.8,0.188,51,1,51,PAK
415,10226-FAO-51-34,Pakistan,Largehead hairtail,Trichiurus lepturus,Species,34,Miscellaneous demersal fishes,51,FAO,0,Historic,Historic,2012,22079,502136.479,15021329.96,1.823,0.395,30696.85,828.25,0.111,688698.795,189608381.5,0.188,51,1,51,PAK
416,10228-FAO-51-33,Pakistan,Mangrove red snapper,Lutjanus argentimaculatus,Species,33,Miscellaneous coastal fishes,51,FAO,0,Historic,Historic,2012,1532,21748.768,889391.486,0.619,1.801,1374.697,3401.099,0.039,87852.251,135963463.9,0.188,51,1,51,PAK
417,10245-FAO-51-33,Pakistan,Sillago-whitings,Sillaginidae,Species,33,Miscellaneous coastal fishes,51,FAO,0,Historic,Historic,2012,401,3969.53,122691.701,0.683,2.543,230.756,1833.536,0.04,14523.408,12061994.03,0.188,51,1,51,PAK
418,10250-FAO-51-31,Pakistan,Tonguefishes,Cynoglossidae,Species,31,"Flounders, halibuts, soles",51,FAO,0,Historic,Historic,2012,1056,12879.269,722714.687,0.585,2.071,872.039,1841.757,0.04,55068.654,31566828.23,0.188,51,1,51,PAK
419,10266-FAO-71-42,Palau,Indo-Pacific swamp crab,Scylla serrata,Species,42,"Crabs, sea-spiders",71,FAO,0,Historic,Historic,2012,1,60.033,1981.169,0.78,0.401,3.199,3411.591,0.042,192.422,293337.504,0.188,71,1,71,PLW
420,10291-FAO-37-33,Palestine,Bogue,Boops boops,Species,33,Miscellaneous coastal fishes,37,FAO,0,Historic,Historic,2012,38,265.529,22974.262,0.798,3.544,13.428,2847.467,0.04,831.426,1067128.029,0.188,37,1,37,PSE
421,10303-FAO-37-33,Palestine,Meagre,Argyrosomus regius,Species,33,Miscellaneous coastal fishes,37,FAO,0,Historic,Historic,2012,3,22.509,-5438.626,0.387,9.851,0.786,1503.069,0.014,145.268,136627.581,0.188,37,1,37,PSE
422,10307-FAO-37-33,Palestine,Red porgy,Pagrus pagrus,Species,33,Miscellaneous coastal fishes,37,FAO,0,Historic,Historic,2012,1,41.497,1090.526,0.594,0.586,2.872,2847.467,0.041,174.648,222936.198,0.188,37,1,37,PSE
423,10350-FAO-77-45,Panama,Crystal shrimp,Penaeus brevirostris,Species,45,"Shrimps, prawns",77,FAO,0,Historic,Historic,2012,417,12567.522,149996.454,0.353,0.881,1339.987,3996.106,0.038,88976.67,126956710.7,0.188,77,1,77,PAN
424,10373-FAO-77-77,Panama,Marine worms,Polychaeta,Species,77,Miscellaneous aquatic invertebrates,77,FAO,0,Historic,Historic,2012,21,1335.883,5836.669,1.793,0.21,55.726,327.086,0.075,1862.495,228220.578,0.188,77,1,77,PAN
425,10379-FAO-77-35,Panama,Pacific anchoveta,Cetengraulis mysticetus,Species,35,"Herrings, sardines, anchovies",77,FAO,0,Historic,Historic,2012,42135,548332.677,15528774.02,0.565,1.507,37121.133,1041.672,0.038,2427249.977,1158455983,0.188,77,1,77,PAN
426,10382-FAO-77-35,Panama,Pacific thread herring,Opisthonema libertate,Species,35,"Herrings, sardines, anchovies",77,FAO,0,Historic,Historic,2012,20541,177719.835,4834185.925,0.92,0.782,21413.466,349.062,0.111,482922.275,56120742.36,0.188,77,1,77,PAN
427,1041-FAO-34-33,Benin,Giant African threadfin,Polydactylus quadrifilis,Species,33,Miscellaneous coastal fishes,34,FAO,0,Historic,Historic,2012,3,39.938,2477.861,0.697,0.678,6.345,1833.536,0.111,143.269,87487.082,0.188,34,1,34,BEN
428,10436-FAO-71-45,Papua New Guinea,Banana prawn,Penaeus merguiensis,Species,45,"Shrimps, prawns",71,FAO,0,Historic,Historic,2012,304,4802.113,278659.497,0.5,1.61,377.892,3996.106,0.039,24029.091,33843483.13,0.188,71,1,71,PNG
429,10437-FAO-71-25,Papua New Guinea,Barramundi(=Giant seaperch),Lates calcarifer,Species,25,Miscellaneous diadromous fishes,71,FAO,0,Historic,Historic,2012,27,2773.749,13690.327,0.826,0.291,112.227,791.739,0.033,8391.793,3169203.974,0.188,71,1,71,PNG
430,10441-FAO-71-45,Papua New Guinea,Giant tiger prawn,Penaeus monodon,Species,45,"Shrimps, prawns",71,FAO,0,Historic,Historic,2012,148,2076.62,321951.12,0.872,1.787,95.012,3996.106,0.04,5954.99,8351002.865,0.188,71,1,71,PNG
431,10442-FAO-71-42,Papua New Guinea,Indo-Pacific swamp crab,Scylla serrata,Species,42,"Crabs, sea-spiders",71,FAO,0,Historic,Historic,2012,1,203.191,1745.579,0.479,0.131,15.877,3411.591,0.037,1059.894,1667066.723,0.188,71,1,71,PNG
432,10456-FAO-87-33,Peru,Cabinza grunt,Isacia conceptionis,Species,33,Miscellaneous coastal fishes,87,FAO,0,Historic,Historic,2012,2369,26129.9,1152279.424,0.737,2.152,1493.691,1833.536,0.042,88640.813,72330474.12,0.188,87,1,87,PER
433,10458-FAO-87-54,Peru,Cholga mussel,Aulacomya ater,Species,54,Mussels,87,FAO,0,Historic,Historic,2012,8451,77917.909,1572620.749,0.477,2.772,6394.603,559.745,0.039,408613.898,56693143.44,0.188,87,1,87,PER
434,10462-FAO-87-33,Peru,Corvina drum,Cilus gilberti,Species,33,Miscellaneous coastal fishes,87,FAO,0,Historic,Historic,2012,811,56276.362,391670.764,0.408,0.387,5130.647,2335.514,0.037,344761.387,371955812.6,0.188,87,1,87,PER
435,10466-FAO-87-76,Peru,Echinoderms,Echinodermata,Species,76,Sea-urchins and other echinoderms,87,FAO,0,Historic,Historic,2012,2295,88812.432,618658.59,1.847,0.391,3174.45,327.086,0.066,120234.933,15296359.98,0.188,87,1,87,PER
436,10467-FAO-87-52,Peru,False abalone,Concholepas concholepas,Species,52,"Abalones, winkles, conchs",87,FAO,0,Historic,Historic,2012,1312,16420.949,439205.755,0.703,1.989,938.912,1353.429,0.04,58430.986,35700178.85,0.188,87,1,87,PER
437,10475-FAO-87-57,Peru,Jumbo flying squid,Dosidicus gigas,Species,57,"Squids, cuttlefishes, octopuses",87,FAO,0,Historic,Historic,2012,497462,14654446.37,555090340,1.901,0.6,436153.937,1384.735,0.057,19273438,10871965280,0.188,87,1,87,PER
438,10484-FAO-87-38,Peru,Pacific angelshark,Squatina californica,Species,38,"Sharks, rays, chimaeras",87,FAO,0,Historic,Historic,2012,33,11679.027,20457.118,0.905,0.218,167.295,886.725,0.013,32253.533,18125108.35,0.188,87,1,87,PER
439,10485-FAO-87-38,Peru,Pacific guitarfish,Rhinobatos planiceps,Species,38,"Sharks, rays, chimaeras",87,FAO,0,Historic,Historic,2012,780,23349.095,242832.719,0.977,0.942,847.3,548.726,0.035,59753.985,15367666.23,0.188,87,1,87,PER
440,10486-FAO-87-35,Peru,Pacific menhaden,Ethmidium maculatum,Species,35,"Herrings, sardines, anchovies",87,FAO,0,Historic,Historic,2012,4057,89384.568,371680.281,0.571,0.946,5636.126,206.499,0.036,391707.894,37745099.61,0.188,87,1,87,PER
441,10488-FAO-87-57,Peru,Patagonian squid,Loligo gahi,Species,57,"Squids, cuttlefishes, octopuses",87,FAO,0,Historic,Historic,2012,20484,600151.369,27526514.22,1.93,0.757,14011.093,1690.429,0.045,777253.236,573024222.9,0.188,87,1,87,PER
442,10491-FAO-87-33,Peru,Peruvian banded croaker,Paralonchurus peruanus,Species,33,Miscellaneous coastal fishes,87,FAO,0,Historic,Historic,2012,1476,41105.818,139632.925,0.454,0.963,3376.386,1503.069,0.037,226370.366,157070626.1,0.188,87,1,87,PER
443,10492-FAO-87-55,Peru,Peruvian calico scallop,Argopecten purpuratus,Species,55,"Scallops, pectens",87,FAO,0,Historic,Historic,2012,14896,91912.564,8168666.079,0.461,3.717,8695.979,1719.547,0.044,498598.9,185816984,0.188,87,1,87,PER
444,10493-FAO-87-34,Peru,Peruvian morwong,Cheilodactylus variegatus,Species,34,Miscellaneous demersal fishes,87,FAO,0,Historic,Historic,2012,590,20799.168,651157,1.882,0.576,544.393,1368.908,0.049,27633.982,16064359.75,0.188,87,1,87,PER
445,10494-FAO-87-33,Peru,Peruvian rock seabass,Paralabrax humeralis,Species,33,Miscellaneous coastal fishes,87,FAO,0,Historic,Historic,2012,1550,38524.324,1247605.64,0.554,1.115,2507.539,4059.514,0.036,173708.887,328741587.4,0.188,87,1,87,PER
446,10495-FAO-87-33,Peru,Peruvian weakfish,Cynoscion analis,Species,33,Miscellaneous coastal fishes,87,FAO,0,Historic,Historic,2012,2838,67196.773,721489.715,0.792,1.078,3324.704,571.852,0.039,212069.904,55152650.21,0.188,87,1,87,PER
447,1049-FAO-34-34,Benin,Largehead hairtail,Trichiurus lepturus,Species,34,Miscellaneous demersal fishes,34,FAO,0,Historic,Historic,2012,84,2419.37,47904.784,0.987,0.326,261.361,828.25,0.107,6129.986,1710301.354,0.188,34,1,34,BEN
448,10503-FAO-87-35,Peru,South American pilchard,Sardinops sagax,Species,35,"Herrings, sardines, anchovies",87,FAO,0,Historic,Historic,2012,161,7392616.485,44402.47,0.537,0,501320.459,293.252,0.036,34445731.81,4697525380,0.188,87,1,87,PER
449,1050-FAO-34-33,Benin,Lesser African threadfin,Galeoides decadactylus,Species,33,Miscellaneous coastal fishes,34,FAO,0,Historic,Historic,2012,857,30323.474,1361282.209,1.931,0.182,2437.583,1833.536,0.155,39263.751,21665923.6,0.188,34,1,34,BEN
450,10521-FAO-71-25,Philippines,Barramundi(=Giant seaperch),Lates calcarifer,Species,25,Miscellaneous diadromous fishes,71,FAO,0,Historic,Historic,2012,756,28596.367,419644.387,1.276,0.668,886.577,791.739,0.04,56045.983,20126169.81,0.188,71,1,71,PHL
451,10538-FAO-71-42,Philippines,Blue swimming crab,Portunus pelagicus,Species,42,"Crabs, sea-spiders",71,FAO,0,Historic,Historic,2012,26066,666077.912,58559270.87,1.233,0.932,22681.66,3411.591,0.042,1350040.06,2051593864,0.188,71,1,71,PHL
452,10541-FAO-71-24,Philippines,Chacunda gizzard shad,Anodontostoma chacunda,Species,24,Shads,71,FAO,0,Historic,Historic,2012,1131,36730.116,754378.385,1.962,0.278,2074.646,784.099,0.111,46803.628,12219038.81,0.188,71,1,71,PHL
453,10550-FAO-71-45,Philippines,Endeavour shrimp,Metapenaeus endeavouri,Species,45,"Shrimps, prawns",71,FAO,0,Historic,Historic,2012,864,6047.955,1036260.72,0.823,3.415,307.221,2896.543,0.042,18363.014,18401858.89,0.188,71,1,71,PHL
454,10560-FAO-71-54,Philippines,Green mussel,Perna viridis,Species,54,Mussels,71,FAO,0,Historic,Historic,2012,26,5049.322,8192.888,0.273,0.156,609.871,619.999,0.033,46234.391,7479138.703,0.188,71,1,71,PHL
455,10565-FAO-71-24,Philippines,Indian pellona,Pellona ditchela,Species,24,Shads,71,FAO,0,Historic,Historic,2012,1104,39324.814,740181.248,1.926,0.237,2422.258,784.099,0.119,51035.452,13053420.49,0.188,71,1,71,PHL
456,10566-FAO-71-42,Philippines,Indo-Pacific swamp crab,Scylla serrata,Species,42,"Crabs, sea-spiders",71,FAO,0,Historic,Historic,2012,1447,23311.218,1913170.982,0.803,1.563,1152.595,3411.591,0.04,72556.722,112129816.2,0.188,71,1,71,PHL
457,10567-FAO-71-33,Philippines,Indo-Pacific tarpon,Megalops cyprinoides,Species,33,Miscellaneous coastal fishes,71,FAO,0,Historic,Historic,2012,1438,6951.236,-829485.122,0.53,4.973,546.023,1833.536,0.042,32816.738,26880442.27,0.188,71,1,71,PHL
458,10577-FAO-71-25,Philippines,Milkfish,Chanos chanos,Species,25,Miscellaneous diadromous fishes,71,FAO,0,Historic,Historic,2012,248,10959.829,147423.814,0.93,0.602,443.333,986.405,0.038,29471.47,13385816.55,0.188,71,1,71,PHL
459,10579-FAO-71-33,Philippines,Moonfish,Mene maculata,Species,33,Miscellaneous coastal fishes,71,FAO,0,Historic,Historic,2012,16321,434229.539,25143993.91,1.951,0.342,24487.098,1833.536,0.11,556398.83,340405508.9,0.188,71,1,71,PHL
460,10590-FAO-71-35,Philippines,Rainbow sardine,Dussumieria acuta,Species,35,"Herrings, sardines, anchovies",71,FAO,0,Historic,Historic,2012,7186,119193.885,1280789.305,0.664,0.49,16554.047,293.252,0.092,448598.43,46277676.09,0.188,71,1,71,PHL
461,10608-FAO-71-33,Philippines,Sillago-whitings,Sillaginidae,Species,33,Miscellaneous coastal fishes,71,FAO,0,Historic,Historic,2012,14370,262161.184,15740480.95,1.171,1.358,9033.164,1833.536,0.04,559491.592,462439980.9,0.188,71,1,71,PHL
462,10611-FAO-71-53,Philippines,Slipper cupped oyster,Crassostrea iredalei,Species,53,Oysters,71,FAO,0,Historic,Historic,2012,116,11461.009,58006.156,0.689,0.288,583.543,877.05,0.035,41569.039,17139160.75,0.188,71,1,71,PHL
463,10617-FAO-71-33,Philippines,Spotted sicklefish,Drepane punctata,Species,33,Miscellaneous coastal fishes,71,FAO,0,Historic,Historic,2012,92,972.35,53030.402,0.617,0.945,157.8,1833.536,0.1,3940.144,2479757.886,0.188,71,1,71,PHL
464,1062-FAO-34-33,Benin,Royal threadfin,Pentanemus quinquarius,Species,33,Miscellaneous coastal fishes,34,FAO,0,Historic,Historic,2012,143,3849.298,219911.917,1.821,0.28,280.483,1833.536,0.133,5284.721,3056557.246,0.188,34,1,34,BEN
465,10666-FAO-27-11,Poland,Asp,Aspius aspius,Species,11,"Carps, barbels and other cyprinids",27,FAO,0,Historic,Historic,2012,2,50.718,1342.893,1.299,0.941,1.637,995.043,0.042,97.613,43291.633,0.188,27,1,27,POL
466,10689-FAO-27-23,Poland,Atlantic salmon,Salmo salar,Species,23,"Salmons, trouts, smelts",27,FAO,1,Historic,Historic,2012,32,1993.481,17018.595,0.405,1.139,69.435,3577.305,0.014,12316.793,20970352.26,0.188,27,1,27,POL
467,10730-FAO-27-31,Poland,European flounder,Platichthys flesus,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,10089,150904.966,18026118.4,1.308,1.626,4741.613,2418.449,0.041,288380.248,214633693.2,0.188,27,1,27,POL
468,10737-FAO-27-23,Poland,European whitefish,Coregonus lavaretus,Species,23,"Salmons, trouts, smelts",27,FAO,0,Historic,Historic,2012,23,710.316,33310.496,1.593,0.419,34.454,1828.901,0.077,1114.994,756586.095,0.188,27,1,27,POL
469,10745-FAO-27-11,Poland,Freshwater bream,Abramis brama,Species,11,"Carps, barbels and other cyprinids",27,FAO,0,Historic,Historic,2012,545,19532.065,355185.972,1.132,0.723,665.729,995.043,0.039,43153.521,19622753.81,0.188,27,1,27,POL
470,1080-FAO-34-24,Benin,West African ilisha,Ilisha africana,Species,24,Shads,34,FAO,0,Historic,Historic,2012,1691,31676.505,1091946.993,1.96,0.483,1786.357,784.099,0.111,40404.141,10556501.88,0.188,34,1,34,BEN
471,1081-FAO-34-33,Benin,West African ladyfish,Elops lacerta,Species,33,Miscellaneous coastal fishes,34,FAO,0,Historic,Historic,2012,43,272.879,43250.288,1.439,3.944,7.578,1833.536,0.04,474.242,393189.352,0.188,34,1,34,BEN
472,10844-FAO-27-11,Poland,Roach,Rutilus rutilus,Species,11,"Carps, barbels and other cyprinids",27,FAO,0,Historic,Historic,2012,644,11684.844,245561.562,0.765,1.36,618.921,995.043,0.041,38186.865,17109047.09,0.188,27,1,27,POL
473,10863-FAO-27-23,Poland,Sea trout,Salmo trutta,Species,23,"Salmons, trouts, smelts",27,FAO,0,Historic,Historic,2012,166,8856.781,504731.265,1.166,0.462,308.452,4299.216,0.041,18997.903,36756722.6,0.188,27,1,27,POL
474,10891-FAO-27-31,Poland,Turbot,Psetta maxima,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,66,529.405,261648.268,0.955,3.002,23.018,6955.084,0.042,1385.709,2956902.803,0.188,27,1,27,POL
475,10920-FAO-27-34,Portugal,Alfonsino,Beryx decadactylus,Species,34,Miscellaneous demersal fishes,27,FAO,0,Historic,Historic,2012,45,505.115,37869.399,1.081,2.12,19.63,1678.317,0.042,1167.987,873076.07,0.188,27,1,27,PRT
476,10927-FAO-27-31,Portugal,Amer. plaice(=Long rough dab),Hippoglossoides platessoides,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,4,241.776,406.439,0.337,1.247,9.518,1608.811,0.013,1794.325,1247355.657,0.188,27,1,27,PRT
477,10929-FAO-21-34,Portugal,American angler,Lophius americanus,Species,34,Miscellaneous demersal fishes,21,FAO,0,Historic,Historic,2012,3,203.643,5327.24,0.985,1.094,2.784,3222.056,0.013,517.013,1043892.187,0.188,21,1,21,PRT
478,1092-FAO-31-33,Bermuda,Black grouper,Mycteroperca bonaci,Species,33,Miscellaneous coastal fishes,31,FAO,0,Historic,Historic,2012,22,477.892,52048.38,1.449,0.982,15.456,3357.21,0.047,824.438,1192998.382,0.188,31,1,31,BMU
479,10935-FAO-27-38,Portugal,Angular roughshark,Oxynotus centrina,Species,38,"Sharks, rays, chimaeras",27,FAO,0,Historic,Historic,2012,3,634.111,2037.829,0.953,0.112,28.197,886.725,0.042,1663.932,655525.825,0.188,27,1,27,PRT
480,10936-FAO-27-33,Portugal,Annular seabream,Diplodus annularis,Species,33,Miscellaneous coastal fishes,27,FAO,0,Historic,Historic,2012,57,1288.707,118981.779,1.498,0.784,48.53,2847.467,0.056,2150.293,2496260.472,0.188,27,1,27,PRT
481,10952-FAO-27-31,Portugal,Atlantic halibut,Hippoglossus hippoglossus,Species,31,"Flounders, halibuts, soles",27,FAO,0,Historic,Historic,2012,1,12.243,-14150.996,0.17,6.098,0.962,7142.158,0.013,179.624,552681.396,0.188,27,1,27,PRT
482,10953-FAO-21-31,Portugal,Atlantic halibut,Hippoglossus hippoglossus,Species,31,"Flounders, halibuts, soles",21,FAO,0,Historic,Historic,2012,70,159.597,-1474708.287,0.213,32.715,10.05,7142.158,0.013,1874.104,5764984.589,0.188,21,1,21,PRT
483,10979-FAO-27-33,Portugal,Axillary seabream,Pagellus acarne,Species,33,Miscellaneous coastal fishes,27,FAO,0,Historic,Historic,2012,780,34739.179,1796229.473,1.631,0.342,1398.005,2847.467,0.066,53260.715,59091012.5,0.188,27,1,27,PRT
484,10981-FAO-27-33,Portugal,Ballan wrasse,Labrus bergylta,Species,33,Miscellaneous coastal fishes,27,FAO,0,Historic,Historic,2012,10,107.366,8354.815,1.009,2.254,4.398,1833.536,0.041,266.108,218413.46,0.188,27,1,27,PRT
485,10983-FAO-27-47,Portugal,Barnacle,Pollicipes pollicipes,Species,47,Miscellaneous marine crustaceans,27,FAO,0,Historic,Historic,2012,74,369.107,97935.521,1.034,4.607,15.531,3231.497,0.044,892.311,1140555.595,0.188,27,1,27,PRT
486,1098-FAO-31-43,Bermuda,Caribbean spiny lobster,Panulirus argus,Species,43,"Lobsters, spiny-rock lobsters",31,FAO,0,Historic,Historic,2012,47,771.235,88308.39,0.383,1.994,61.493,16628.091,0.031,5029.808,26331850.81,0.188,31,1,31,BMU
487,10991-FAO-27-56,Portugal,Bean solen,Pharus legumen,Species,56,"Clams, cockles, arkshells",27,FAO,0,Historic,Historic,2012,34,3282.205,26431.241,1.442,0.259,90.995,970.43,0.04,5689.279,2495856.996,0.188,27,1,27,PRT
488,10-FAO-37-57,Albania,Common cuttlefish,Sepia officinalis,Species,57,"Squids, cuttlefishes, octopuses",37,FAO,0,Historic,Historic,2012,125,3898.687,248143.073,1.799,0.448,155.014,2444.774,0.072,5418.234,5029540.903,0.188,37,1,37,ALB
489,11019-FAO-34-34,Portugal,Black scabbardfish,Aphanopus carbo,Species,34,Miscellaneous demersal fishes,34,FAO,0,Historic,Historic,2012,1718,85167.62,1024400.835,1.243,0.493,2802.505,828.25,0.041,171337.011,63722115.19,0.188,34,1,34,PRT
